INC_CRC|NAME|LATITUDE|LONGITUDE|DESCRIPTION|HYPERLINK
085E18CF2019E327|Sungei Buloh Wetland Reserve|103.735469441118|1.44021109438519|Visitor Centre:, 60 Kranji Way, #01-00, Singapore 739453, Wetland Centre:, 301 Neo Tiew Crescent, Singapore 718925, Parking lots are available near both entrances.|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sungei-buloh-wetland-reserve
09819F1DC27928BB|Tamarind Road Playground|103.860192003962|1.38970200824166|Tamarind Road|
01E36C27ADF1A692|Woodlands Waterfront Park|103.780115001631|1.45270000280122|Admiralty Road West|
F5CF4377C8B5A14D|Ellington Square Playground|103.8345300001|1.37200201143139|Near Ang Mo Kio Ave 2/ Ang Mo Kio Street 11 and Ellington Square|
0CD00CC02BF36ADD|Thrift Drive Open Space|103.883247013056|1.34388700495724|Green open space along Upper Paya Lebar (Road) and along Thrift Drive (Road), facing Jalan Gotong Royong (Road)|
BEF6EFD284E92D21|Cactus Road Playground|103.852235996241|1.39010900260341|Located in Cactus Rd|
C2CF14521E3B39D4|Serenade Walk Playground|103.834559997553|1.37992099278184|Serenade walk road|
B59FA0E862861781|Gelenggang Park|103.82985799937|1.3734760171315|Upper Thomson Road behind ESSO station.  Junction of Jalan Kuras/Jalan Gelenggang|
A9434EB7E9677E3D|Park Villas Terrace Playground|103.880038986362|1.36898199651608|Along Hougang Ave 2 and Park Villas Terrace|
CE4D5D08BBC01CCD|Jalan Kemuning Park|103.826964006486|1.43935801058573|Off Sembawang Road/Jalan Kemuning Road|
122B1D3AFC079CA8|Sunrise Terrace Open Space|103.85612099449|1.38825798987759|Located along Sunrise Terrace|
05830DBD3D09DA63|Sunrise Close Playground|103.85751000337|1.38701200648595|Located at the junction of Sunrise Ave & Sunrise Place|
D257368CC200724B|Thomson Walk Playground|103.832498999628|1.37599700541463|Thomson Walk Road|
7123569049B86143|Mimosa Road Playground|103.862974003853|1.38426200171396|Located at Mimosa Crescent next to Mimosa Park Condo|
48DD42ABD462F168|Chartwell Drive Park|103.863871997607|1.35963099707599|Along Chartwell Drive|
