|LANDXADDRESSPOINT|LANDYADDRESSPOINT|NAME|DESCRIPTION|INC_CRC|FMEL_UPD_D|HYPERLINK
105|26820.8613|43047.87|Brooks Park|Along Springside Ave|174F7682F6024278|20200218182414|
106|35956.55|43646.520000000004|Punggol Waterway Park|"Along Sentul Crescent Road (Cuts through the whole of Punggol Town)
"|546A6DB1EFE4DB9C|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/punggol-waterway-park
107|27198.793|45476.19|Platina Road Playground|Platina estate|076102BC56072481|20200218182414|
108|26236.12|42558.5625|Springleaf Nature Park|Nee Soon Road, Upper Thomson Road|B56D2B1467E9E6C0|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/springleaf-nature-park
109|17621.416|46721.5859|Kranji Reservoir Park|Along Kranji Way|8B757636FB879EBD|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/kranji-reservoir-park
110|28262.1211|48647.15|Kandis Garden|Off Sembawang Road/Kandis Road|954DC81886757C48|20200218182414|
111|27290.8262|38010.7031|Windsor Nature Park|30 Venus Drive, Singapore 573858 (Located close to Singapore Island Country Club)|61D4606FCA9F524B|20200218182414|
112|35270.1328|39880.5352|Punggol Park|Junction of Hougang Avenue 8 and 10|A997071F044A0F3D|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/punggol-park
113|27872.291|43533.2773|Lower Seletar Reservoir Park|Bounded by Yishun Ave 1 and Lentor Avenue|CB5DC6630AF255AF|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/lower-seletar-reservoir-park
114|26776.2285|42213.5664|Springleaf Garden Playground|Straight from springleaf estate entrance road.|54B23DCCBBA064D4|20200218182414|
115|22295.6016|47314.61|Admiralty Park|"31 Riverside Road, Singapore 730000
 "|4E353F2A56C83E22|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/admiralty-park
116|28686.4531|45481.94|Yishun Pond Park|Along Yishun Central, in front of Khoo Teck Puat Hospital|EECA2F4988DD7F22|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/yishun-pond-park
117|19733.7422|44256.3477|Jalan Rasok Park|Along Jln Rasok|DBC341F53A0B6293|20200218182414|
118|27113.3262|45447|Goodlink Park Playground|Turn right after Goodlink estate entrance|C6898AE8670B0E68|20200218182414|
119|29033.998|45125.78|Yishun Park|Bounded by Yishun Ave 4, Yishun Central, Yishun Ave 11 and Yishun Ring Road|1370FC84BCD77908|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/yishun-park
120|27218.4727|39009.770000000004|Lower Peirce Reservoir Park|Along Old Upper Thomson Road|8B9EBA8A4FBE27B0|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/lower-peirce-reservoir-park
121|37135.1055|42677.4766|Punggol Waterway|Along Sentul Crescent Road|3B67C7294C35D913|20200218182414|
122|20946.2656|46591.770000000004|Marsiling Park|Woodlands Centre Road adjacent to Bukit Timah Expressway|96486E19EF57B312|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/marsiling-park
123|42701.0625|43391.7148|Pulau Ubin and Chek Jawa|Pulau Ubin|E415D97687EAFB85|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa
124|23214.502|29642.79|Kent Ridge Park|Vigilante Drive off South Buona Vista Road|034656BDAFA8BF68|20200218182414|
125|28165.4922|21869.93|Sisters’ Islands Marine Park|Sisters’ Islands |D5016B28ECC28A3D|20200218182414|
126|25465.4844|29033.7148|Telok Blangah Hill Park|Telok Blangah Green off Henderson Road|5DFA1F5042BC1C4D|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/telok-blangah-hill-park
127|24456.7539|29010.0234|HortPark|33 Hyderabad Road (off Alexandra Road), Singapore 119578|A5846571A555DFD6|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/hortpark
128|30005.0781|29630.7031|Raffles Place Park|Bounded by Battery Road and Collyer Quay. It can also be accessed from D'Almeida Street.|06833C82218C53F5|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/raffles-place-park
129|29475.6621|29895.5273|Hong Lim Park - Speakers' Corner|The park is bounded by North Canal Road, South Bridge Road, Upper Pickering Street and New Bridge Rd|AC8CA17A21868178|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/hong-lim-park
130|33562.582|32007.0059|Mount Batten Rd/Old Airport Rd Open Space|Junction of Mt Batten Rd & Old Airport Rd|78E6B093FF09F721|20200218182414|
131|34008.090000000004|31546.8|Wilkinson Interim Park|Along Wilkinson Road|AA5EC52A19C4E25A|20200218182414|
132|33670.9023|35846.06|Bunga Rampai Park|Located along Jalan Bunga Rampai (Road) is a transitional zone among Bartley MRT, Bartley Secondary School and Jalan Bunga Rampai Estate|2F1D45EED0C983BA|20200218182414|
133|29608.8711|31259.1367|Handy Road Open Space|Bounded by Handy Road, Orchard Road and Zubir Said Drive; In front of The Cathay ▀|B4B92BB1A0D125DA|20200218182414|
134|30917.4219|32180.6777|Kitchener Green Playground|Along Kitchener Road|D56EAEF187A152BD|20200218182414|
135|28881.3613|31383.64|Penang Road Open Space|Along Penang Road and Oxley Road ▀|8536B482FE51D6CD|20200218182414|
136|25838.2285|32773.9063|National Orchid Garden|"In the Central Core of the Singapore Botanic Gardens.
Address: 1 Cluny Road, Singapore 259569"|119021D2C0A30D47|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/national-orchid-garden
